event_id,date,year,quarter,month,company_name,industry,region,country,company_size,total_workforce_before,headcount_cut,workforce_after,pct_workforce_cut,role_category,seniority_level,ai_exposure_score,stated_reason,ai_cited_as_reason,revenue_growth_yoy_pct,ai_capex_change_yoy_pct,stock_price_change_30d_pct,shifted_staff_to_ai_roles,source_type
LAYOFF-00001,02/01/2023,2023,Q1,January,HelioIndustries,Technology/Software,North America,United States,"Mid-Market (1,000-10,000)",98,7,91,8.13,Consulting/Advisory,Mid-Level (3-7 yrs),54,Market/Economic Conditions,No,-29.4,-10.4,0.9,No,Earnings Call Transcript
LAYOFF-00002,03/01/2023,2023,Q1,January,FalconSystems,Retail/E-commerce,Europe,Netherlands,"Enterprise (10,000+)",603,23,580,3.83,Software Engineering,Senior (8-15 yrs),60,Overhiring Correction,No,30.3,47.8,-9.5,No,CEO Memo
LAYOFF-00003,06/01/2023,2023,Q1,January,DeltaSystems,Media/Content,North America,United States,"SMB (200-1,000)",51660,1168,50492,2.26,Software Engineering,Senior (8-15 yrs),51,Cost-Cutting,No,-12.6,3.6,-4.4,No,Press Release
LAYOFF-00004,07/01/2023,2023,Q1,January,AstraHoldings,Finance/Banking,Europe,Ireland,"SMB (200-1,000)",998,91,907,9.15,Content/Creative,Mid-Level (3-7 yrs),59,AI/Automation,Yes,21.2,58.6,-2.1,Yes,News Report
LAYOFF-00005,09/01/2023,2023,Q1,January,BriIndustries,Technology/Software,Asia Pacific,Singapore,"Mid-Market (1,000-10,000)",90936,1241,89695,1.37,Sales,Entry-Level (0-2 yrs),77,Overhiring Correction,No,-23.8,29.7,-14.5,No,News Report
LAYOFF-00006,09/01/2023,2023,Q1,January,KestrelGroup,Retail/E-commerce,North America,United States,"Enterprise (10,000+)",23943,626,23317,2.62,Finance/Accounting,Executive/Leadership,10,Overhiring Correction,No,5,1.1,10.4,Yes,Earnings Call Transcript
LAYOFF-00007,11/01/2023,2023,Q1,January,LumSystems,Healthcare,Asia Pacific,Australia,"Enterprise (10,000+)",19424,427,18997,2.2,Sales,Senior (8-15 yrs),39,Restructuring/Reorg,No,-9.9,-12.9,2.7,No,Press Release
LAYOFF-00008,12/01/2023,2023,Q1,January,MeridianPartners,Finance/Banking,Asia Pacific,China,"Mid-Market (1,000-10,000)",417,25,392,6.19,Marketing,Mid-Level (3-7 yrs),44,AI/Automation,Yes,26.3,19.1,-2.7,No,CEO Memo
LAYOFF-00009,14/01/2023,2023,Q1,January,CedarSolutions,Technology/Software,North America,Mexico,"SMB (200-1,000)",115138,1467,113671,1.27,Data Entry/Back Office,Entry-Level (0-2 yrs),76,Restructuring/Reorg,No,25.4,4.3,8.5,No,CEO Memo
LAYOFF-00010,15/01/2023,2023,Q1,January,ZenGroup,Retail/E-commerce,Middle East/Africa,UAE,"Mid-Market (1,000-10,000)",3653,34,3619,0.95,Operations,Mid-Level (3-7 yrs),40,Restructuring/Reorg,No,20.5,-17.3,16.7,No,Earnings Call Transcript
